hhno	fraction_with_jobs_outside	hhsize	hhvehs	hhwkrs	hhftw	hhptw	hhret	hhoad	hhuni	hhhsc	hh515	hhcu5	hhincome	hownrent	hrestype	hhparcel	zone_id	hhtaz	hhexpfac	samptype
225500	0.046	1	1	1	1	0	0	0	0	0	0	0	27800	2	3	4242	810	811	500	11
150500	0	2	2	1	1	0	0	1	0	0	0	0	92556	1	1	5933	586	587	500	11
500	0	1	1	0	0	0	1	0	0	0	0	0	17331	1	1	22	2272	2273	500	11
375500	0.112	1	1	0	0	0	1	0	0	0	0	0	16583	2	3	32024	1924	1925	500	11
300500	0.024	3	3	2	1	0	0	0	1	0	0	1	44419	1	1	20638	1735	1736	500	11
526000	0	4	2	1	1	0	0	1	0	0	1	1	64161	2	3	19033	2390	2391	500	11
376000	0	1	0	0	0	0	0	0	1	0	0	0	39484	2	3	32045	1939	1940	500	11
226000	0	2	2	1	0	1	0	1	0	0	0	0	132582	1	1	4255	800	801	500	11
75500	0	3	2	3	2	0	0	0	1	0	0	0	66039	1	1	1869	2213	2214	500	11
151000	0.166	2	2	0	0	0	2	0	0	0	0	0	37529	1	1	5945	580	581	500	11
301000	0	4	2	1	0	1	0	2	1	0	0	0	36174	1	1	20683	1747	1748	500	11
226500	0	2	1	0	0	0	2	0	0	0	0	0	30403	1	1	4264	799	800	500	11
1000	0	3	2	2	2	0	0	0	0	0	1	0	92787	1	1	38	2271	2272	500	11
151500	0	1	1	1	1	0	0	0	0	0	0	0	25768	1	1	5975	590	591	500	11
152000	0.166	1	1	0	0	0	1	0	0	0	0	0	8292	2	3	5996	583	584	500	11
76000	0	2	2	1	1	0	0	1	0	0	0	0	55599	1	1	1891	2094	2095	500	11
450500	0	4	2	1	1	0	0	1	0	0	2	0	339872	1	1	24199	23	24	500	11
227000	0.047	3	2	1	1	0	1	1	0	0	0	0	44623	1	3	4282	835	836	500	11
451000	0	1	1	1	1	0	0	0	0	0	0	0	37591	2	3	24205	20	21	500	11
526500	0	2	2	2	2	0	0	0	0	0	0	0	64007	2	3	19043	2502	2503	500	11
152500	0	1	1	0	0	0	0	1	0	0	0	0	38693	2	3	6014	1173	1174	500	11
527000	0	2	2	0	0	0	2	0	0	0	0	0	175730	1	1	19059	2368	2369	500	11
451500	0	2	2	0	0	0	2	0	0	0	0	0	25270	1	1	24216	25	26	500	11
227500	0.087	1	0	0	0	0	1	0	0	0	0	0	7417	2	3	4291	767	768	500	11
228000	0.087	1	1	1	1	0	0	0	0	0	0	0	47438	2	3	4299	765	766	500	11
301500	0.055	4	2	2	2	0	0	0	0	0	0	2	32377	1	1	20746	1766	1767	500	11
452000	0	1	1	1	1	0	0	0	0	0	0	0	15240	2	3	24259	1048	1049	500	11
76500	0	3	4	3	2	1	0	0	0	0	0	0	105916	1	1	1920	2096	2097	500	11
452500	0.053	1	0	0	0	0	1	0	0	0	0	0	62286	2	3	24308	57	58	500	11
77000	0	1	1	0	0	0	1	0	0	0	0	0	18711	1	1	1950	2088	2089	500	11
228500	0.087	2	4	1	1	0	0	1	0	0	0	0	41251	2	1	4312	759	760	500	11
1500	0	4	2	2	1	1	0	0	0	0	2	0	87675	1	1	60	2269	2270	500	11
376500	0.031	3	2	1	1	0	0	1	0	0	1	0	22352	1	1	32073	1652	1653	500	11
302000	0.055	2	2	1	1	0	0	1	0	0	0	0	87374	1	1	20775	1762	1763	500	11
153000	0	2	2	0	0	0	1	1	0	0	0	0	87260	1	1	6019	1173	1174	500	11
453000	0.053	2	2	1	1	0	0	1	0	0	0	0	27800	2	1	24317	58	59	500	11
77500	0	3	3	1	1	0	1	1	0	0	0	0	90517	1	1	1980	2054	2055	500	11
229000	0.061	3	3	1	0	1	0	1	0	0	1	0	2217	2	3	4396	357	358	500	11
153500	0.042	2	2	0	0	0	1	1	0	0	0	0	9476	1	1	6022	1138	1139	500	11
2000	0	3	2	1	1	0	0	1	0	0	0	1	101740	1	1	82	2267	2268	500	11
453500	0	2	3	1	1	0	0	1	0	0	0	0	97298	1	1	24330	29	30	500	11
78000	0.198	2	4	0	0	0	2	0	0	0	0	0	19346	1	1	2020	2115	2116	500	11
78500	0.235	2	2	1	1	0	0	1	0	0	0	0	51564	1	1	2044	2058	2059	500	11
377000	0.031	3	3	3	2	0	0	0	0	1	0	0	62010	1	1	32102	1647	1648	500	11
2500	0	2	2	2	2	0	0	0	0	0	0	0	78968	1	1	93	2268	2269	500	11
454000	0	2	2	2	2	0	0	0	0	0	0	0	197377	1	1	24352	8	9	500	11
302500	0	5	3	1	1	0	0	1	0	2	1	0	46735	1	1	20798	1676	1677	500	11
3000	0	1	1	0	0	0	0	1	0	0	0	0	8019	2	3	109	2287	2288	500	11
229500	0.061	2	4	1	1	0	0	1	0	0	0	0	29624	2	3	4441	358	359	500	11
527500	0.173	5	2	4	3	0	0	0	2	0	0	0	104793	2	1	19147	2438	2439	500	11
79000	0.235	4	2	2	2	0	0	0	0	0	0	2	87374	1	1	2081	2057	2058	500	11
528000	0	2	1	0	0	0	2	0	0	0	0	0	25603	1	4	19263	2489	2490	500	11
303000	0	2	1	1	1	0	0	0	0	0	1	0	56720	1	1	20815	1768	1769	500	11
230000	0.061	2	1	0	0	0	2	0	0	0	0	0	11344	1	1	4502	353	354	500	11
154000	0	4	3	4	3	0	0	0	0	1	0	0	80547	1	1	6039	1175	1176	500	11
230500	0	1	1	1	1	0	0	0	0	0	0	0	65496	1	1	4546	365	366	500	11
528500	0	2	2	2	1	0	0	0	1	0	0	0	35269	1	1	19277	2490	2491	500	11
377500	0	5	2	1	1	0	0	1	0	0	0	3	29613	2	1	32135	1657	1658	500	11
3500	0	5	2	1	1	0	0	1	0	0	0	3	54657	1	1	129	2285	2286	500	11
231000	0	1	2	1	1	0	0	0	0	0	0	0	103785	1	1	4556	365	366	500	11
529000	0	1	1	1	1	0	0	0	0	0	0	0	64145	1	1	19301	2500	2501	500	11
529500	0	2	2	0	0	0	2	0	0	0	0	0	70331	1	1	19340	2308	2309	500	11
303500	0.031	4	2	2	2	0	0	0	0	0	0	2	93205	1	1	20838	1644	1645	500	11
4000	0.141	3	3	1	1	0	0	2	0	0	0	0	37795	1	1	172	2295	2296	500	11
154500	0	3	3	2	1	1	0	0	0	0	1	0	85596	1	1	6067	1153	1154	500	11
454500	0	5	4	3	3	0	0	1	0	0	0	1	37896	2	3	24387	1046	1047	500	11
79500	0.132	6	2	1	1	0	0	1	0	0	1	3	70534	1	1	2140	2082	2083	500	11
530000	0	2	3	1	1	0	0	1	0	0	0	0	217701	1	1	19415	2546	2547	500	11
378000	0	2	2	2	2	0	0	0	0	0	0	0	80439	2	3	32316	1928	1929	500	11
4500	0	1	1	1	1	0	0	0	0	0	0	0	36899	1	1	188	2288	2289	500	11
530500	0.043	2	2	1	1	0	0	1	0	0	0	0	82625	2	3	19455	2353	2354	500	11
155000	0.041	1	1	1	1	0	0	0	0	0	0	0	108581	2	3	6070	1164	1165	500	11
5000	0	1	1	1	1	0	0	0	0	0	0	0	36980	1	1	203	2288	2289	500	11
378500	0	1	1	1	0	1	0	0	0	0	0	0	11653	2	3	4903	162	163	500	11
80000	0.132	4	2	1	1	0	0	1	0	0	0	2	47358	1	1	2152	2081	2082	500	11
455000	0	4	2	1	1	0	0	1	0	0	0	2	25875	2	1	24412	1075	1076	500	11
155500	0	4	2	1	0	1	0	1	0	0	1	1	48767	2	1	6096	1182	1183	500	11
304000	0	4	2	2	2	0	0	0	0	0	2	0	85616	1	1	20908	1775	1776	500	11
379000	0	2	1	1	1	0	0	0	0	1	0	0	69091	1	1	4942	158	159	500	11
379500	0	1	1	0	0	0	1	0	0	0	0	0	15849	1	1	4978	161	162	500	11
531000	0	4	3	1	1	0	0	1	0	0	1	1	138998	1	1	19483	2349	2350	500	11
5500	0	3	2	2	2	0	0	0	0	0	1	0	115675	1	1	213	2282	2283	500	11
80500	0.14	7	4	1	1	0	0	2	0	0	3	1	31495	2	1	2226	2026	2027	500	11
380000	0.153	2	1	0	0	0	0	2	0	0	0	0	11963	2	1	5081	550	551	500	11
231500	0	5	2	2	2	0	0	0	0	1	1	1	57214	1	3	4573	364	365	500	11
455500	0.039	3	3	2	2	0	0	0	0	1	0	0	30479	1	1	24434	1065	1066	500	11
456000	0.053	1	0	0	0	0	1	0	0	0	0	0	14833	2	3	24441	60	61	500	11
156000	0	3	2	2	2	0	0	0	0	0	0	1	114010	2	2	6106	1168	1169	500	11
380500	0.153	2	2	0	0	0	2	0	0	0	0	0	66001	1	1	5096	547	548	500	11
381000	0	1	0	0	0	0	0	1	0	0	0	0	12091	2	3	5152	139	140	500	11
232000	0	2	2	1	0	1	1	0	0	0	0	0	175528	1	1	4583	723	724	500	11
232500	0	2	1	0	0	0	2	0	0	0	0	0	21261	1	1	4611	722	723	500	11
81000	0.14	3	3	2	2	0	0	0	0	0	0	1	48367	1	1	2283	2030	2031	500	11
381500	0	1	0	0	0	0	1	0	0	0	0	0	20636	1	3	5212	148	149	500	11
304500	0	3	3	2	2	0	0	0	1	0	0	0	154907	1	1	20926	1770	1771	500	11
233000	0.061	1	1	0	0	0	1	0	0	0	0	0	16021	1	3	4628	355	356	500	11
531500	0.073	2	2	2	0	2	0	0	0	0	0	0	372334	1	1	19504	2339	2340	500	11
156500	0.093	2	2	1	1	0	0	0	1	0	0	0	24235	2	3	6119	639	640	500	11
6000	0	4	2	1	1	0	0	1	0	0	2	0	90752	2	3	250	2284	2285	500	11
157000	0.093	1	0	0	0	0	1	0	0	0	0	0	10622	1	3	6146	648	649	500	11
157500	0.093	1	1	0	0	0	1	0	0	0	0	0	12375	2	3	6180	645	646	500	11
6500	0.077	1	1	0	0	0	1	0	0	0	0	0	4	2	3	262	2278	2279	500	11
81500	0.14	3	2	0	0	0	0	1	0	0	2	0	16223	2	1	2328	2036	2037	500	11
456500	0.242	3	2	3	0	0	0	0	3	0	0	0	13005	2	3	24445	50	51	500	11
233500	0	3	1	1	1	0	0	1	0	0	1	0	41699	1	1	4666	734	735	500	11
82000	0.118	1	1	0	0	0	1	0	0	0	0	0	17768	1	1	2380	2147	2148	500	11
234000	0	1	2	1	1	0	0	0	0	0	0	0	46515	1	2	4681	730	731	500	11
158000	0	2	2	0	0	0	0	1	0	0	1	0	12091	2	3	6241	601	602	500	11
457000	0	2	2	1	1	0	0	1	0	0	0	0	58807	1	1	24448	44	45	500	11
305000	0	4	3	2	2	0	0	0	0	0	1	1	92814	1	2	20935	1774	1775	500	11
7000	0.077	2	1	1	1	0	0	0	0	0	1	0	25554	2	3	288	2280	2281	500	11
305500	0	1	1	1	0	1	0	0	0	0	0	0	18563	2	3	20965	1809	1810	500	11
532000	0	5	3	1	1	0	0	1	0	0	2	1	82811	1	1	19520	2302	2303	500	11
306000	0	1	1	1	1	0	0	0	0	0	0	0	57911	2	3	20980	1814	1815	500	11
234500	0	3	2	1	1	0	0	1	0	0	0	1	76199	1	1	4697	731	732	500	11
158500	0	2	2	2	2	0	0	0	0	0	0	0	42282	1	1	6285	596	597	500	11
7500	0.077	2	2	1	1	0	0	1	0	0	0	0	68683	1	1	303	2276	2277	500	11
82500	0	4	4	3	2	1	0	0	0	0	1	0	267222	1	1	2415	2172	2173	500	11
457500	0	4	2	1	1	0	0	1	0	0	1	1	47751	2	3	24449	31	32	500	11
306500	0	2	1	1	1	0	0	0	0	0	1	0	56720	1	1	21025	1816	1817	500	11
8000	0.077	2	2	1	0	1	0	1	0	0	0	0	46098	1	1	365	2277	2278	500	11
159000	0	1	1	1	1	0	0	0	0	0	0	0	87966	1	1	6611	267	268	500	11
159500	0.102	1	1	0	0	0	1	0	0	0	0	0	18339	1	1	6635	273	274	500	11
235000	0	2	2	1	1	0	0	1	0	0	0	0	30259	2	1	4721	728	729	500	11
8500	0	1	2	1	1	0	0	0	0	0	0	0	69087	1	1	2631	2620	2621	500	11
532500	0	3	1	1	1	0	0	1	0	0	1	0	439322	1	1	19541	2311	2312	500	11
160000	0	2	2	1	1	0	0	1	0	0	0	0	56024	1	1	6878	269	270	500	11
160500	0.093	1	1	0	0	0	1	0	0	0	0	0	22974	1	1	9373	643	644	500	11
382000	0	8	4	3	2	1	0	1	0	1	1	2	34259	2	1	5246	132	133	500	11
235500	0	1	1	1	1	0	0	0	0	0	0	0	61200	2	3	4729	741	742	500	11
307000	0	3	2	2	2	0	0	0	0	0	1	0	67695	1	1	21059	1757	1758	500	11
458000	0	4	2	1	1	0	0	1	0	0	0	2	13614	2	3	24457	31	32	500	11
533000	0	2	2	0	0	0	2	0	0	0	0	0	36095	1	1	19557	2311	2312	500	11
83000	0	4	2	1	1	0	0	1	0	0	2	0	29938	1	4	2439	2166	2167	500	11
236000	0	2	2	1	1	0	0	1	0	0	0	0	30403	2	2	5783	862	863	500	11
382500	0	1	1	1	1	0	0	0	0	0	0	0	46735	1	2	5305	528	529	500	11
458500	0	1	1	1	1	0	0	0	0	0	0	0	26813	2	3	24467	36	37	500	11
83500	0.059	1	1	1	1	0	0	0	0	0	0	0	33001	2	3	2459	2137	2138	500	11
9000	0.033	4	3	2	2	0	1	0	0	0	1	0	59029	1	1	2667	2612	2613	500	11
84000	0.059	2	1	0	0	0	1	1	0	0	0	0	18952	1	1	2487	2146	2147	500	11
9500	0.033	1	2	0	0	0	0	1	0	0	0	0	15114	2	3	2701	2614	2615	500	11
383000	0	1	1	1	1	0	0	0	0	0	0	0	37422	1	1	6220	651	652	500	11
161000	0	4	4	3	1	0	0	1	2	0	0	0	49676	2	4	9719	291	292	500	11
533500	0	4	2	1	1	0	0	1	0	0	0	2	50799	1	1	19573	2522	2523	500	11
383500	0	1	1	1	1	0	0	0	0	0	0	0	28447	1	1	6513	529	530	500	11
307500	0	6	1	0	0	0	0	1	0	1	4	0	4277	2	1	21094	1756	1757	500	11
459000	0	4	4	4	4	0	0	0	0	0	0	0	64474	2	3	24471	36	37	500	11
236500	0	3	1	2	1	0	0	0	0	1	1	0	48470	1	1	5792	864	865	500	11
10000	0.04	3	2	2	2	0	0	0	0	0	1	0	179829	1	1	2717	2726	2727	500	11
84500	0.197	5	1	1	1	0	0	0	0	2	2	0	12832	1	2	2535	2017	2018	500	11
161500	0.061	2	2	2	2	0	0	0	0	0	0	0	119645	1	1	9793	279	280	500	11
459500	0.058	1	1	1	1	0	0	0	0	0	0	0	36575	2	3	24479	70	71	500	11
460000	0.058	2	3	2	2	0	0	0	0	0	0	0	92701	2	3	24480	70	71	500	11
534000	0	2	2	2	2	0	0	0	0	0	0	0	49501	2	3	19588	2526	2527	500	11
237000	0	1	1	1	1	0	0	0	0	0	0	0	24057	2	3	8516	740	741	500	11
162000	0	1	2	1	1	0	0	0	0	0	0	0	61876	1	2	9809	593	594	500	11
10500	0.033	2	2	1	1	0	1	0	0	0	0	0	25875	2	1	2750	2611	2612	500	11
460500	0	1	2	1	1	0	0	0	0	0	0	0	74032	1	1	24503	1051	1052	500	11
534500	0	1	1	1	1	0	0	0	0	0	0	0	31587	2	3	19655	2540	2541	500	11
11000	0.04	2	2	1	1	0	0	1	0	0	0	0	93021	3	4	2791	2717	2718	500	11
384000	0	4	1	2	2	0	0	1	0	0	1	0	75589	2	3	9266	253	254	500	11
461000	0	1	0	1	1	0	0	0	0	0	0	0	86358	2	3	24522	1056	1057	500	11
11500	0.04	1	1	0	0	0	1	0	0	0	0	0	35536	1	1	2797	2717	2718	500	11
535000	0	3	2	1	1	0	0	1	0	0	0	1	53461	1	1	19697	2509	2510	500	11
237500	0	2	2	2	2	0	0	0	0	0	0	0	69097	1	1	8522	725	726	500	11
384500	0	2	0	0	0	0	0	2	0	0	0	0	12931	2	1	9342	654	655	500	11
162500	0	2	3	2	1	0	0	0	1	0	0	0	30229	1	1	9831	589	590	500	11
461500	0.039	1	1	1	1	0	0	0	0	0	0	0	30229	2	3	24538	1062	1063	500	11
308000	0	5	1	2	2	0	0	0	0	2	1	0	96940	1	1	21104	1758	1759	500	11
12000	0	2	3	1	1	0	0	1	0	0	0	0	108284	1	1	2837	2653	2654	500	11
462000	0	2	1	0	0	0	1	1	0	0	0	0	9673	1	1	24548	1070	1071	500	11
12500	0.033	2	2	0	0	0	2	0	0	0	0	0	44654	1	1	2883	2610	2611	500	11
535500	0	3	4	1	1	0	0	1	0	0	0	1	113522	2	3	19714	2509	2510	500	11
308500	0	2	2	1	1	0	0	0	0	0	0	1	40305	1	1	21109	1752	1753	500	11
536000	0	1	0	0	0	0	1	0	0	0	0	0	9476	2	3	19765	2495	2496	500	11
536500	0	1	1	0	0	0	1	0	0	0	0	0	9476	2	3	19799	2501	2502	500	11
163000	0.042	2	2	1	1	0	1	0	0	0	0	0	79924	1	1	9855	1137	1138	500	11
13000	0	1	1	0	0	0	1	0	0	0	0	0	37795	1	1	2933	2650	2651	500	11
462500	0.039	2	4	1	1	0	0	0	1	0	0	0	20315	2	3	24582	1061	1062	500	11
537000	0	1	1	1	1	0	0	0	0	0	0	0	34053	2	3	19833	2518	2519	500	11
238000	0	2	2	2	1	0	0	0	1	0	0	0	33830	2	3	8530	756	757	500	11
85000	0.063	4	3	3	1	1	0	0	1	0	1	0	80191	1	1	6653	2265	2266	500	11
309000	0	2	2	2	2	0	0	0	0	0	0	0	130971	1	1	21132	1753	1754	500	11
85500	0.14	1	1	1	1	0	0	0	0	0	0	0	76994	1	1	6654	2251	2252	500	11
86000	0.14	1	1	1	1	0	0	0	0	0	0	0	29613	1	1	6666	2250	2251	500	11
163500	0.042	3	2	0	0	0	0	2	0	1	0	0	218755	1	4	9858	1137	1138	500	11
385000	0	4	2	2	2	0	0	0	0	0	0	2	282272	1	1	9430	553	554	500	11
537500	0	2	3	2	2	0	0	0	0	0	0	0	474795	1	1	19858	2519	2520	500	11
238500	0.089	3	2	2	2	0	0	0	0	0	0	1	96518	1	1	8566	819	820	500	11
13500	0	5	1	1	1	0	0	1	0	0	1	2	34259	1	1	2951	2652	2653	500	11
463000	0.039	4	4	3	3	0	0	1	0	0	0	0	21716	2	3	24586	1061	1062	500	11
538000	0	2	1	0	0	0	2	0	0	0	0	0	33787	3	1	19873	2524	2525	500	11
14000	0	2	2	0	0	0	2	0	0	0	0	0	10858	1	1	3003	2628	2629	500	11
86500	0.063	2	2	1	1	0	0	0	0	1	0	0	83903	2	3	6684	2266	2267	500	11
164000	0	1	1	1	1	0	0	0	0	0	0	0	132687	1	1	9876	1147	1148	500	11
309500	0	2	2	2	2	0	0	0	0	0	0	0	79122	1	1	21174	1665	1666	500	11
164500	0	2	2	1	1	0	1	0	0	0	0	0	393388	1	1	9903	1157	1158	500	11
310000	0	1	3	1	1	0	0	0	0	0	0	0	79955	1	1	21192	1754	1755	500	11
385500	0	3	3	2	1	1	1	0	0	0	0	0	63600	1	1	9452	544	545	500	11
165000	0.041	1	1	0	0	0	0	0	1	0	0	0	0	2	3	9912	1162	1163	500	11
14500	0	2	3	1	0	1	1	0	0	0	0	0	42366	1	1	3077	2643	2644	500	11
538500	0	2	4	2	2	0	0	0	0	0	0	0	65840	1	1	19891	2525	2526	500	11
463500	0	3	3	3	2	0	0	0	1	0	0	0	97455	1	1	24606	49	50	500	11
87000	0.111	3	2	2	2	0	0	0	0	0	0	1	61361	1	1	6700	2245	2246	500	11
310500	0	2	2	2	1	0	0	0	0	1	0	0	68603	2	3	21597	1662	1663	500	11
464000	0	1	1	1	1	0	0	0	0	0	0	0	33252	2	3	24614	61	62	500	11
464500	0	1	1	0	0	0	1	0	0	0	0	0	17780	1	2	24623	68	69	500	11
465000	0	2	2	0	0	0	0	2	0	0	0	0	310936	1	1	24634	67	68	500	11
165500	0	3	2	2	2	0	0	0	0	0	0	1	84553	2	3	9917	1190	1191	500	11
465500	0	1	1	0	0	0	1	0	0	0	0	0	171701	1	1	26898	1240	1241	500	11
386000	0	4	2	1	1	0	0	1	0	0	2	0	321757	1	1	9459	542	543	500	11
87500	0	2	2	1	1	0	0	1	0	0	0	0	108525	1	1	6719	2195	2196	500	11
239000	0	6	3	2	2	0	0	0	0	1	3	0	66291	1	1	9141	860	861	500	11
311000	0.081	3	2	2	2	0	0	0	0	0	0	1	68064	1	1	23553	1636	1637	500	11
311500	0.081	1	1	0	0	0	1	0	0	0	0	0	9623	3	1	23571	1641	1642	500	11
539000	0	4	2	2	2	0	0	1	0	0	1	0	112529	1	1	19920	2505	2506	500	11
386500	0	2	4	2	2	0	0	0	0	0	0	0	94893	1	1	9468	542	543	500	11
15000	0	3	3	2	1	1	0	0	1	0	0	0	29768	1	1	3109	2649	2650	500	11
166000	0	4	1	1	0	0	0	0	2	0	1	1	7960	2	3	9920	1190	1191	500	11
312000	0	1	1	1	0	1	0	0	0	0	0	0	17768	2	3	23594	1663	1664	500	11
387000	0	2	1	1	1	0	0	1	0	0	0	0	42248	2	3	9531	127	128	500	11
466000	0	4	2	1	1	0	0	1	0	1	1	0	258620	1	1	26935	1239	1240	500	11
166500	0	1	1	1	0	1	0	0	0	0	0	0	39297	1	1	9937	1181	1182	500	11
387500	0	1	0	1	1	0	0	0	0	0	0	0	42769	1	2	9548	128	129	500	11
312500	0	1	1	1	1	0	0	0	0	0	0	0	151144	1	1	25487	1843	1844	500	11
313000	0	1	1	1	1	0	0	0	0	0	0	0	67392	2	3	25518	1838	1839	500	11
88000	0	3	4	2	2	0	0	1	0	0	0	0	90023	1	1	6730	2223	2224	500	11
388000	0	1	1	1	1	0	0	0	0	0	0	0	53303	2	3	10444	125	126	500	11
88500	0	2	0	0	0	0	0	1	0	0	1	0	0	2	3	6781	2204	2205	500	11
15500	0	4	2	1	1	0	0	0	1	0	1	1	66302	1	1	3130	2644	2645	500	11
466500	0	3	2	1	1	0	0	0	0	0	2	0	106068	1	1	27005	1242	1243	500	11
313500	0	6	2	0	0	0	0	2	1	1	2	0	0	1	1	25535	1844	1845	500	11
239500	0	7	2	1	1	0	0	1	0	0	4	1	48264	1	1	9143	860	861	500	11
167000	0	3	2	2	2	0	0	0	0	0	0	1	98368	1	1	9955	1169	1170	500	11
388500	0	2	2	2	2	0	0	0	0	0	0	0	136966	1	3	21781	1022	1023	500	11
467000	0	2	2	1	0	1	1	0	0	0	0	0	123387	1	1	27087	1234	1235	500	11
240000	0	1	1	1	1	0	0	0	0	0	0	0	25400	1	2	9154	815	816	500	11
539500	0	6	3	4	4	0	0	0	0	0	0	2	332226	1	1	19946	2514	2515	500	11
314000	0.036	2	2	0	0	0	2	0	0	0	0	0	88896	1	1	25572	1682	1683	500	11
